time,latitude,longitude,ph
2022-09-01,20.0,87.5,8.108244
2022-09-01,21.75,91.0,8.426671
2022-09-01,20.5,88.5,8.126399
2022-09-01,20.25,90.5,8.068136
2022-09-01,21.0,89.75,8.163987
2022-09-01,21.25,91.0,8.300405
2022-09-01,20.5,91.0,8.068422
2022-09-01,22.0,90.75,8.413507
2022-09-01,20.75,87.75,8.114859
2022-09-01,21.75,90.5,8.33222
2022-09-01,20.0,87.0,8.098845
2022-09-01,20.25,89.0,8.064702
2022-09-01,21.5,87.25,8.187967
2022-09-01,21.0,89.25,8.182912
2022-09-01,20.0,90.5,8.063332
2022-09-01,21.5,88.25,8.3132
2022-09-01,21.5,87.5,8.212511
2022-09-01,21.75,90.25,8.269929
2022-09-01,20.25,90.25,8.066734
2022-09-01,21.5,88.0,8.292952
2022-09-01,22.5,91.0,7.791777
2022-09-01,20.0,88.0,8.092531
2022-09-01,20.5,87.75,8.130552
2022-09-01,20.0,89.75,8.059845
2022-09-01,21.0,87.0,8.092367
2022-09-01,20.5,90.75,8.07088
2022-09-01,20.75,88.25,8.165294
2022-09-01,21.0,89.0,8.219056
2022-09-01,20.75,87.5,8.083648
2022-09-01,21.25,90.75,8.317035
2022-09-01,22.25,91.0,8.333764
2022-09-01,20.0,90.75,8.061222
2022-09-01,21.0,90.0,8.166473
2022-09-01,21.5,88.5,8.313426
2022-09-01,20.75,88.0,8.14161
2022-09-01,21.0,88.0,8.171885
2022-09-01,20.5,87.5,8.107256
2022-09-01,21.0,90.5,8.208443
2022-09-01,21.5,90.25,8.194171
2022-09-01,20.25,89.75,8.064254
2022-09-01,20.75,89.75,8.110253
2022-09-01,21.0,91.0,8.192338
2022-09-01,20.0,88.25,8.081283
2022-09-01,20.5,89.75,8.078554
2022-09-01,21.25,88.25,8.276739
2022-09-01,20.75,90.5,8.126304
2022-09-01,21.25,89.5,8.20646
2022-09-01,20.75,89.5,8.11426
2022-09-01,21.75,89.75,8.273734
2022-09-01,20.0,89.0,8.065599
2022-09-01,22.5,90.75,7.6510577
2022-09-01,21.25,88.5,8.298677
2022-09-01,20.25,88.5,8.088252
2022-09-01,22.0,91.0,8.474397
2022-09-01,20.25,87.5,8.117904
2022-09-01,20.5,87.0,8.06243
2022-09-01,20.5,89.0,8.089026
2022-09-01,20.25,87.75,8.123497
2022-09-01,21.25,88.0,8.235037
2022-09-01,20.75,90.25,8.127211
2022-09-01,20.25,91.0,8.061282
2022-09-01,21.25,87.25,8.130855
2022-09-01,21.5,91.0,8.364014
2022-09-01,20.25,88.25,8.099966
2022-09-01,21.25,87.5,8.143881
2022-09-01,21.5,90.75,8.383758
2022-09-01,20.5,89.25,8.079096
2022-09-01,20.75,90.0,8.115448
2022-09-01,21.0,88.25,8.2130785
2022-09-01,20.25,88.0,8.114085
2022-09-01,22.0,90.5,8.374628
2022-09-01,20.0,88.75,8.068163
2022-09-01,21.25,87.0,8.131686
2022-09-01,21.25,87.75,8.186687
2022-09-01,20.0,87.75,8.103434
2022-09-01,20.5,89.5,8.079965
2022-09-01,21.5,90.5,8.3463125
2022-09-01,21.75,90.0,8.28652
2022-09-01,20.25,90.0,8.065213
2022-09-01,21.0,90.75,8.206858
2022-09-01,20.5,90.0,8.076774
2022-09-01,20.75,90.75,8.108621
2022-09-01,20.5,90.25,8.081058
2022-09-01,21.5,89.5,8.262417
2022-09-01,20.25,87.25,8.096666
2022-09-01,20.75,89.25,8.114797
2022-09-01,20.25,90.75,8.066314
2022-09-01,21.5,89.75,8.272496
2022-09-01,21.0,87.75,8.110536
2022-09-01,20.75,89.0,8.140497
2022-09-01,20.5,87.25,8.078268
2022-09-01,20.0,89.25,8.063555
2022-09-01,21.5,90.0,8.306784
2022-09-01,21.0,88.75,8.234922
2022-09-01,20.0,88.5,8.07374
2022-09-01,21.0,88.5,8.234615
2022-09-01,21.75,88.0,8.264033
2022-09-01,21.25,88.75,8.283638
2022-09-01,21.25,89.25,8.245462
2022-09-01,21.25,89.0,8.249856
2022-10-01,21.0,87.5,8.209525
2022-10-01,21.0,88.25,8.258442
2022-10-01,20.0,90.0,8.057977
2022-10-01,21.5,89.5,8.274436
2022-10-01,21.5,88.0,8.360171
2022-10-01,20.0,87.0,8.125754
2022-10-01,20.5,88.75,8.076485
2022-10-01,20.25,89.25,8.0618725
2022-10-01,20.0,88.75,8.061145
2022-10-01,20.75,87.0,8.169711
2022-10-01,21.0,87.25,8.202436
2022-10-01,20.5,89.25,8.066592
2022-10-01,22.25,91.0,8.342151
2022-10-01,20.5,90.25,8.075445
2022-10-01,21.5,90.75,8.371588
2022-10-01,21.75,90.75,8.418226
